seconds,x,y,z,rpm,speed,gear,throttle,brake,drs,status
0.0,-7657.586559313533,-6662.812722339537,501.8144224336056,10598.630793030929,263.85304685808245,6,100.0,False,0,OnTrack
0.04,-7659.411495118253,-6633.028156096781,501.8036006472456,10462.0,265.0,6,100.0,False,0,OnTrack
0.172,-7666.0,-6541.0,502.0,10567.6,266.65,6,100.0,False,0,OnTrack
0.36,-7676.1277930015385,-6418.173919258818,502.8026163647045,10718.0,269.0,7,100.0,False,0,OnTrack
0.432,-7678.0,-6349.0,503.0,10732.142857142857,269.51428571428573,7,100.0,False,0,OnTrack
0.612,-7676.0,-6123.0,503.0,10767.5,270.8,7,100.0,False,0,OnTrack
0.64,-7675.403293682214,-6096.323866752413,503.0040420188245,10773.0,271.0,7,100.0,False,0,OnTrack
0.84,-7670.357900649077,-6003.678553647451,503.18786987270823,10798.0,273.0,7,95.0,False,0,OnTrack
0.952,-7666.0,-5956.0,503.0,10634.355555555556,270.5111111111111,7,65.44444444444444,False,0,OnTrack
1.2,-7650.72863291981,-5775.03631572208,502.5136146278262,10272.0,265.0,7,0.0,False,0,OnTrack
1.232,-7648.0,-5749.0,503.0,10227.6,262.4,7,0.0,False,0,OnTrack
1.36,-7635.139463276077,-5644.077389914377,506.8119479891327,10050.0,252.0,7,0.0,True,0,OnTrack
1.532,-7616.0,-5515.0,513.0,9309.186525261151,237.72613728826883,7,0.0,True,0,OnTrack
1.601,-7608.965989267521,-5472.719632325064,514.3414747574519,9012.0,232.0,7,0.0,True,0,OnTrack
1.832,-7587.0,-5359.0,516.0,9123.952273900837,222.5392444590841,7,0.0,True,0,OnTrack
1.894,-7580.953872440505,-5330.045505415238,516.6613766648919,9154.0,220.0,7,0.0,True,0,OnTrack
2.132,-7553.0,-5207.0,520.0,9254.8579187005,181.2557995235887,7,0.0,True,0,OnTrack
2.281,-7527.486561254696,-5104.63536729243,521.6933264367807,9318.0,157.0,7,0.0,True,0,OnTrack
2.312,-7523.0,-5087.0,522.0,9163.516347733334,155.8374976,7,0.0,True,0,OnTrack
2.521,-7506.62525972334,-5025.846367116843,523.7183420340968,8122.0,148.0,4,0.0,True,0,OnTrack
2.652,-7498.0,-4998.0,525.0,7503.843448,132.4437424,4,0.0,True,0,OnTrack
2.681,-7495.457480554273,-4989.858130681021,525.3437760702939,7367.0,129.0,4,0.0,True,0,OnTrack
2.872,-7475.0,-4925.0,528.0,7278.18497024,120.40499712,4,0.0,True,0,OnTrack
2.881,-7474.039525092045,-4921.999043171843,528.1297553150314,7274.0,120.0,4,0.0,True,0,OnTrack
3.072,-7454.0,-4862.0,531.0,6922.55988224,119.04499968,4,1.91000064,True,0,OnTrack
3.081,-7452.994411691929,-4859.24330122083,531.1502485497931,6906.0,119.0,4,2.0,False,0,OnTrack
3.252,-7433.0,-4808.0,534.0,6888.8999936,115.94642742857143,4,3.2214290285714284,False,0,OnTrack
3.361,-7420.983088828847,-4777.961910831806,535.0676536113833,6878.0,114.0,4,4.0,False,0,OnTrack
3.553,-7386.0,-4724.0,536.0,6886.0,112.93333333333334,4,12.0,False,0,OnTrack
3.721,-7324.187197257948,-4670.456135098184,536.9555482418066,6893.0,112.0,4,19.0,False,0,OnTrack
3.731,-7321.0,-4668.0,537.0,6902.9167936,112.0,4,19.833344,False,0,OnTrack
3.961,-7279.877757725429,-4644.9726539139265,537.4870397574766,7131.0,112.0,4,39.0,False,0,OnTrack
4.112,-7249.0,-4638.0,539.0,7316.604245333333,116.40416853333333,4,59.762508800000006,False,0,OnTrack
4.201,-7219.150373067245,-4629.577431321804,540.8072092616752,7426.0,119.0,4,72.0,False,0,OnTrack
4.271,-7197.0,-4623.0,542.0,7587.499704685714,121.74999497142858,4,78.99998719999999,False,0,OnTrack
4.481,-7163.508953974689,-4612.709476297831,541.8512312981429,8072.0,130.0,4,100.0,False,0,OnTrack
4.611,-7076.0,-4603.0,547.0,8306.722453333334,134.3333376,4,100.0,False,0,OnTrack
4.771,-6866.0,-4583.0,562.0,8595.611342222222,139.66667093333334,4,100.0,False,0,OnTrack
4.841,-6801.450326019176,-4577.104611826267,566.6263092931689,8722.0,142.0,4,100.0,False,0,OnTrack
5.161,-6756.264118164498,-4574.432116275973,569.7782860317525,9601.0,154.0,4,100.0,False,0,OnTrack
5.252,-6733.0,-4572.0,572.0,9821.35015497143,159.52500388571428,4,100.0,False,0,OnTrack
5.371,-6679.0,-4566.0,577.0,10109.500309942858,166.75000777142859,4,100.0,False,0,OnTrack
5.441,-6646.23255987416,-4562.289251942877,579.8844550851592,10279.0,171.0,4,100.0,False,0,OnTrack
5.572,-6586.0,-4555.0,585.0,10521.945573236364,175.46591127272728,4,100.0,False,0,OnTrack
5.792,-6479.0,-4539.0,594.0,10929.945573236364,182.96591127272728,4,100.0,False,0,OnTrack
5.881,-6433.94741251164,-4530.933158022023,597.2613270355805,11095.0,186.0,4,100.0,False,0,OnTrack
5.951,-6398.0,-4524.0,600.0,11267.1559352,188.187496,4,100.0,False,0,OnTrack
6.201,-6266.957547286706,-4495.6886207452435,612.5153433054707,11882.0,196.0,4,100.0,False,0,OnTrack
6.231,-6251.0,-4492.0,614.0,11714.0007168,196.44999808,4,100.0,False,0,OnTrack
6.401,-6159.647580297696,-4470.10219604815,621.7970406819477,10762.0,199.0,4,100.0,False,0,OnTrack
6.491,-6110.0,-4458.0,626.0,10773.8125168,202.0937544,4,100.0,False,0,OnTrack
6.692,-5999.0,-4431.0,636.0,10800.1937584,209.0031272,4,100.0,False,0,OnTrack
6.721,-5984.649720255198,-4427.512344848493,637.3477495533722,10804.0,210.0,5,100.0,False,0,OnTrack
6.88,-5904.425265368803,-4407.871164710005,645.0147828941214,11040.0,213.0,5,100.0,False,0,OnTrack
6.932,-5861.0,-4397.0,649.0,11097.6875,214.1375,5,100.0,False,0,OnTrack
7.092,-5683.0,-4352.0,665.0,11275.1875,217.6375,5,100.0,False,0,OnTrack
7.2,-5614.64407945084,-4334.607686333693,671.2494900500033,11395.0,220.0,5,100.0,False,0,OnTrack
7.472,-5538.0,-4315.0,679.0,11697.222222222223,226.8,5,100.0,False,0,OnTrack
7.56,-5459.915947318585,-4295.3580082103945,686.4614542433725,11795.0,229.0,5,100.0,False,0,OnTrack
7.712,-5306.0,-4257.0,701.0,11156.6,232.04,5,100.0,False,0,OnTrack
7.76,-5272.782672160877,-4248.939914544662,704.0975169734213,10955.0,233.0,5,100.0,False,0,OnTrack
7.96,-5207.6792298377395,-4235.235760222765,709.9233814835252,10554.0,237.0,6,100.0,False,0,OnTrack
8.072,-5164.0,-4229.0,714.0,10683.063734792462,238.8614961748913,6,100.0,False,0,OnTrack
8.312,-5005.0,-4209.0,729.0,10959.628880776312,242.85041654965835,6,100.0,False,0,OnTrack
8.321,-4998.711197161113,-4208.3856344062115,729.5504528802063,10970.0,243.0,6,100.0,False,0,OnTrack
8.431,-4923.0,-4202.0,736.0,10984.4374832,245.0624976,6,100.0,False,0,OnTrack
8.481,-4888.880821752995,-4199.236595929638,739.0499435715213,10991.0,246.0,6,100.0,False,0,OnTrack
8.652,-4773.0,-4188.0,750.0,11092.531288,248.1375008,6,100.0,False,0,OnTrack
8.812,-4666.0,-4170.0,760.0,11187.531288,250.1375008,6,100.0,False,0,OnTrack
8.961,-4570.7228184018,-4145.22415133349,769.1605586325072,11276.0,252.0,6,100.0,False,0,OnTrack
9.152,-4444.0,-4097.0,781.0,11369.1125312,254.3875008,6,100.0,False,0,OnTrack
9.273,-4351.0,-4053.0,789.0,11428.1,255.9,6,100.0,False,0,OnTrack
9.281,-4344.1582726824645,-4049.651880339159,789.5893488460063,11432.0,256.0,6,100.0,False,0,OnTrack
9.481,-4146.165559342113,-3950.4114938119696,806.8749254318595,11662.0,256.0,6,100.0,False,0,OnTrack
9.592,-4063.0,-3909.0,814.0,11603.031216,257.734376,6,100.0,False,0,OnTrack
9.801,-4001.7918039678393,-3882.218198295612,818.5451581843591,11492.0,261.0,6,100.0,False,0,OnTrack
9.853,-3983.0,-3875.0,820.0,11302.57142857143,261.37142857142857,6,100.0,False,0,OnTrack
10.081,-3829.898013774133,-3819.2667489906444,832.2193157184015,10472.0,263.0,7,100.0,False,0,OnTrack
10.093,-3819.0,-3816.0,833.0,10476.02,263.06,7,100.0,False,0,OnTrack
10.281,-3619.555030790786,-3766.1405420786164,845.8898994251663,10539.0,264.0,7,100.0,False,0,OnTrack
10.352,-3549.0,-3751.0,850.0,10558.3277952,264.1972224,7,100.0,False,0,OnTrack
