seconds,x,y,z,rpm,speed,gear,throttle,brake,drs,status,compound
0.0,-1300.389683832269,-415.25665535440015,1302.0000241034259,10551.489089828572,216.82857325714286,5,99.0,False,0,OnTrack,HARD
0.041,-1293.239698888223,-420.87813530788674,1302.0000355357636,10426.0,218.0,5,99.0,False,0,OnTrack,HARD
0.228,-1239.0,-463.0,1302.0,10629.3625696,222.6750016,5,99.0,False,0,OnTrack,HARD
0.281,-1217.172271713561,-479.85732096794277,1301.9999639370926,10687.0,224.0,6,99.0,False,0,OnTrack,HARD
0.428,-1139.0,-540.0,1302.0,10778.87504,227.6750016,6,99.0,False,0,OnTrack,HARD
0.481,-1102.7780784340443,-567.7614858482453,1302.0001836500628,10812.0,229.0,6,99.0,False,0,OnTrack,HARD
0.641,-973.3780131562271,-666.7130687241901,1302.0007694749952,11086.0,231.0,6,99.0,False,0,OnTrack,HARD
0.708,-922.0,-706.0,1302.0,11153.000064,232.6750016,6,99.0,False,0,OnTrack,HARD
0.921,-784.8006892802089,-811.0111682724771,1301.992250896206,11366.0,238.0,6,99.0,False,0,OnTrack,HARD
1.081,-707.7034113117008,-870.0321674469485,1301.9914978919173,11591.0,242.0,6,99.0,False,0,OnTrack,HARD
1.168,-675.0,-895.0,1302.0,11392.453425371428,243.8642870857143,6,99.0,False,0,OnTrack,HARD
1.361,-623.5727196339182,-934.0656435557618,1302.0350707708021,10952.0,248.0,6,99.0,False,0,OnTrack,HARD
1.468,-587.0,-962.0,1302.0,10498.5872288,249.3375008,6,99.0,False,0,OnTrack,HARD
1.521,-563.0897355434001,-980.3354136296126,1301.9568187737696,10274.0,250.0,6,99.0,False,0,OnTrack,HARD
1.761,-423.1023007165576,-1087.8579620864496,1301.9743689458824,10475.0,255.0,7,99.0,False,0,OnTrack,HARD
1.768,-419.0,-1091.0,1302.0,10480.260911390715,255.08695721306967,7,99.0,False,0,OnTrack,HARD
1.922,-331.156849233956,-1158.0946033628156,1302.8689340735923,10596.0,257.0,7,99.0,False,0,OnTrack,HARD
1.968,-305.0,-1178.0,1303.0,10620.341598933333,257.7666645333333,7,99.0,False,0,OnTrack,HARD
2.128,-213.0,-1248.0,1303.0,10705.0082656,260.4333312,7,99.0,False,0,OnTrack,HARD
2.162,-193.4800084286294,-1263.0047275607144,1303.2230104397506,10723.0,261.0,7,99.0,False,0,OnTrack,HARD
2.328,-98.0,-1337.0,1305.0,10818.4499264,263.48999808,7,99.0,False,0,OnTrack,HARD
2.362,-78.12441744315896,-1352.3548238759347,1305.1273800297274,10838.0,264.0,7,99.0,False,0,OnTrack,HARD
2.522,16.36057407310203,-1425.0303485816917,1304.4483233696599,10916.0,265.0,7,99.0,False,0,OnTrack,HARD
2.588,54.0,-1454.0,1304.0,10951.749930666667,266.0999978666667,7,99.0,False,0,OnTrack,HARD
2.762,150.47559040686687,-1528.302265003484,1303.015734190553,11046.0,269.0,7,99.0,False,0,OnTrack,HARD
2.768,154.0,-1531.0,1303.0,11047.3499712,269.05999872,7,99.0,False,0,OnTrack,HARD
2.962,276.2219202689409,-1623.8915687032186,1303.0957231314621,11091.0,271.0,7,99.0,False,0,OnTrack,HARD
