seconds,x,y,z,rpm,speed,gear,throttle,brake,drs,status,compound
0.0,-380.8670784819077,1254.8141273813535,-158.94405670739494,11504.1,286.12857142857143,7,100.0,False,0,OnTrack,SOFT
0.203,-373.0,1417.0,-159.0,11539.6249664,288.3035693714286,7,100.0,False,0,OnTrack,SOFT
0.268,-370.7310878316746,1468.8619749368117,-159.06774930995897,11551.0,289.0,7,100.0,False,0,OnTrack,SOFT
0.403,-366.0,1577.0,-159.0,11633.6873824,289.8437488,7,100.0,False,0,OnTrack,SOFT
0.428,-365.0279270098313,1597.2109389923912,-158.89108079716914,11649.0,290.0,7,100.0,False,0,OnTrack,SOFT
0.603,-358.0,1739.0,-158.0,11662.854151466667,290.0,7,100.0,False,0,OnTrack,SOFT
0.668,-355.92073876568935,1790.5256660549103,-158.31001119112352,11668.0,290.0,7,100.0,False,0,OnTrack,SOFT
0.763,-353.0,1868.0,-159.0,11569.579128833973,291.0526296381393,7,100.0,False,0,OnTrack,SOFT
0.944,-346.0,2031.0,-159.0,11382.060891135448,293.0581722873214,7,100.0,False,0,OnTrack,SOFT
1.029,-343.1234435359532,2100.6343890795915,-158.99828276724122,11294.0,294.0,7,100.0,False,0,OnTrack,SOFT
1.284,-335.0,2309.0,-159.0,10603.678398171429,295.8214290285714,7,100.0,False,0,OnTrack,SOFT
1.309,-333.9536215875247,2334.8177813726525,-158.9207545411718,10536.0,296.0,8,100.0,False,0,OnTrack,SOFT
1.524,-324.0,2572.0,-158.0,10621.232168228571,296.7678573714286,8,100.0,False,0,OnTrack,SOFT
1.589,-321.57165928429856,2626.135955940872,-157.9631958574689,10647.0,297.0,8,100.0,False,0,OnTrack,SOFT
1.869,-313.8398858647139,2780.673286400347,-158.9196574297085,10600.0,298.0,8,100.0,False,0,OnTrack,SOFT
1.924,-312.0,2820.0,-159.0,10600.0,298.0,8,100.0,False,0,OnTrack,SOFT
2.004,-309.0,2886.0,-159.0,10600.0,298.0,8,100.0,False,0,OnTrack,SOFT
2.029,-308.0135657607123,2907.5650869561296,-158.98047696414824,10600.0,298.0,8,100.0,False,0,OnTrack,SOFT
2.224,-300.0,3080.0,-159.0,10657.958352355556,299.0833336888889,8,100.0,False,0,OnTrack,SOFT
2.384,-294.0,3213.0,-160.0,10705.51390791111,299.97222257777776,8,100.0,False,0,OnTrack,SOFT
2.389,-293.82476524964136,3217.1397856302524,-160.00410264499467,10707.0,300.0,8,100.0,False,0,OnTrack,SOFT
2.564,-288.0,3363.0,-159.0,10730.5156336,300.5468752,8,100.0,False,0,OnTrack,SOFT
2.709,-282.9917024525889,3483.511224024133,-158.33926199115498,10750.0,301.0,8,100.0,False,0,OnTrack,SOFT
2.964,-274.0,3697.0,-158.0,10774.2857164855,301.63909780225,8,100.0,False,0,OnTrack,SOFT
3.024,-272.0,3748.0,-158.0,10780.000001283208,301.78947371797915,8,100.0,False,0,OnTrack,SOFT
