seconds,x,y,z,rpm,speed,gear,throttle,brake,drs,status,compound
0.0,1033.14299515492,-336.8263390667476,187.99999999961864,11549.992711314286,257.2571446857143,6,100.0,False,0,OnTrack,HARD
0.122,1018.9973393701306,-250.22226715571057,187.99999999962313,11411.0,259.0,6,100.0,False,0,OnTrack,HARD
0.266,1006.0,-171.0,188.0,11046.885714285714,262.0857142857143,6,100.0,False,0,OnTrack,HARD
0.402,997.3681860453955,-118.82430169972291,188.00000000071697,10703.0,265.0,7,100.0,False,0,OnTrack,HARD
0.626,980.0,-11.0,188.0,10709.533333333333,265.0,7,100.0,False,0,OnTrack,HARD
0.642,977.8853055215759,2.397729688529324,187.99999999968097,10710.0,265.0,7,100.0,False,0,OnTrack,HARD
0.906,934.0,283.0,188.0,10849.542857142857,270.65714285714284,7,100.0,False,0,OnTrack,HARD
0.922,931.8461221239877,296.8896062849197,188.00000000167705,10858.0,271.0,7,100.0,False,0,OnTrack,HARD
1.122,913.6347313800667,415.9176815197933,188.00000004172085,10968.0,273.0,7,100.0,False,0,OnTrack,HARD
1.287,902.0,494.0,188.0,11047.19996928,274.64999936,7,100.0,False,0,OnTrack,HARD
1.322,899.178396014893,513.0055936301085,187.99999997380667,11064.0,275.0,7,100.0,False,0,OnTrack,HARD
1.486,883.0,623.0,188.0,11135.75,277.05,7,100.0,False,0,OnTrack,HARD
1.562,872.425325054318,696.0753105317323,188.00000034555407,11169.0,278.0,7,100.0,False,0,OnTrack,HARD
1.722,846.2291711808996,878.9017503888801,188.00000094955658,11217.0,280.0,7,100.0,False,0,OnTrack,HARD
1.786,838.0,937.0,188.0,11239.857142857143,280.22857142857146,7,100.0,False,0,OnTrack,HARD
2.002,822.2364030361971,1052.3145350443438,187.99999275181005,11317.0,281.0,7,100.0,False,0,OnTrack,HARD
2.106,814.0,1115.0,188.0,11341.18,282.04,7,100.0,False,0,OnTrack,HARD
2.402,776.0030642943492,1404.1124491363548,188.00001617556194,11410.0,285.0,7,100.0,False,0,OnTrack,HARD
2.426,773.0,1427.0,188.0,11415.314285714287,285.0857142857143,7,100.0,False,0,OnTrack,HARD
2.682,745.9783134038051,1633.8002250013324,187.99968273769957,11472.0,286.0,7,100.0,False,0,OnTrack,HARD
2.805,735.0,1720.0,188.0,11488.400008533334,286.5125002666667,7,100.0,False,0,OnTrack,HARD
2.922,725.272721354686,1798.4296634930665,188.00080593629826,11504.0,287.0,7,100.0,False,0,OnTrack,HARD
3.242,700.0534136336875,2004.9015130965252,188.00068705166305,11477.0,287.0,7,100.0,False,0,OnTrack,HARD
3.266,698.0,2021.0,188.0,11477.654545454545,287.0,7,100.0,False,0,OnTrack,HARD
3.365,689.0,2092.0,188.0,11480.3545472,287.0,7,100.0,False,0,OnTrack,HARD
3.645,656.0,2393.0,188.0,11487.990910836364,287.0,7,100.0,False,0,OnTrack,HARD
3.682,652.1585170634595,2428.2777340133575,187.94730551151198,11489.0,287.0,7,100.0,False,0,OnTrack,HARD
3.842,638.3608137123135,2552.1516230029856,187.52398054152286,11521.0,287.0,7,100.0,False,0,OnTrack,HARD
4.066,623.0,2686.0,187.0,11012.418181818182,277.3272727272727,7,53.163636363636364,False,0,OnTrack,HARD
4.282,607.4545556892573,2816.4323206217864,187.05498868952301,10522.0,268.0,7,8.0,True,0,OnTrack,HARD
4.326,603.0,2848.0,187.0,10592.766666666666,261.27777777777777,7,7.877777777777778,True,0,OnTrack,HARD
4.642,560.4335098899625,3103.6694950552774,185.9999026131634,11101.0,213.0,7,7.0,True,0,OnTrack,HARD
4.646,560.0,3106.0,186.0,11094.158333333333,212.63333333333333,7,7.016666666666667,True,0,OnTrack,HARD
4.946,537.0,3208.0,187.0,10581.033333333333,185.13333333333333,7,8.266666666666666,True,0,OnTrack,HARD
5.122,519.7644558620891,3275.141191995608,187.2153596535656,10280.0,169.0,4,9.0,True,0,OnTrack,HARD
5.266,492.0,3344.0,187.0,9877.828571428572,161.8,4,9.0,True,0,OnTrack,HARD
