seconds,x,y,z,rpm,speed,gear,throttle,brake,drs,status
0.0,-1225.569339996507,-1304.2760428105848,84.5088860622459,10727.6678656,301.39642879999997,8,100.0,False,12,OnTrack
0.119,-1294.0,-1239.0,84.0,10743.392874057143,301.8214290285714,8,100.0,False,12,OnTrack
0.169,-1324.19311277138,-1210.2366520634837,83.77878583875665,10750.0,302.0,8,100.0,False,12,OnTrack
0.359,-1440.0,-1100.0,83.0,10765.60715337143,302.6785718857143,8,100.0,False,12,OnTrack
0.449,-1488.4628769425346,-1053.8076969792364,82.77131518907875,10773.0,303.0,8,100.0,False,12,OnTrack
0.609,-1574.9387511361049,-971.3718587623065,82.40955720325613,10819.0,303.0,8,100.0,False,12,OnTrack
0.679,-1629.0,-920.0,82.0,10826.4375136,303.4375008,8,100.0,False,12,OnTrack
0.769,-1715.9075209049126,-837.5397902019176,81.20039629712329,10836.0,304.0,8,100.0,False,12,OnTrack
0.899,-1844.0,-716.0,80.0,10847.70001152,304.65000064,8,100.0,False,12,OnTrack
0.969,-1893.434371542568,-668.9637922745699,79.65422504002255,10854.0,305.0,8,100.0,False,12,OnTrack
1.289,-2013.2940991831874,-554.7123759731509,79.23440152999271,10901.0,306.0,8,100.0,False,12,OnTrack
1.319,-2029.0,-540.0,79.0,10895.1874752,306.0,8,100.0,False,12,OnTrack
1.419,-2091.0,-482.0,78.0,10875.8124752,306.0,8,100.0,False,12,OnTrack
1.449,-2111.514715414628,-462.65872825228803,77.76399037186127,10870.0,306.0,8,100.0,False,12,OnTrack
1.649,-2262.098559258521,-318.810848112743,77.19489403920554,10869.0,306.0,8,100.0,False,12,OnTrack
1.72,-2312.0,-271.0,77.0,10865.4499968,306.0,8,100.0,False,12,OnTrack
1.929,-2435.3208863268933,-153.1326396739024,75.8839366991789,10855.0,306.0,8,100.0,False,12,OnTrack
2.12,-2534.0,-60.0,75.0,10845.4499968,306.0,8,100.0,False,12,OnTrack
2.169,-2559.5294726431184,-36.18919354070046,74.91368207137312,10843.0,306.0,8,100.0,False,12,OnTrack
2.3,-2640.0,39.0,75.0,10825.31499136,306.0,8,100.0,False,12,OnTrack
2.369,-2701.4327606000134,97.15484399942937,75.2668296183729,10816.0,306.0,8,100.0,False,12,OnTrack
2.52,-2844.0,233.0,76.0,10777.87248384,305.62249984,8,62.249984000000005,False,12,OnTrack
2.769,-2930.96457496626,316.569463145396,75.98629876545299,10715.0,305.0,8,0.0,True,8,OnTrack
2.8,-2942.0,327.0,76.0,10627.4248192,302.56428068571427,8,0.0,True,8,OnTrack
3.049,-3080.682957566344,456.52564522014916,76.66681558321768,9924.0,283.0,8,0.0,True,8,OnTrack
3.14,-3142.0,514.0,77.0,9524.7372192,268.78124,8,0.0,True,8,OnTrack
3.209,-3189.8101244370437,559.021569999769,77.25083707670014,9222.0,258.0,8,0.0,True,8,OnTrack
3.38,-3302.0,666.0,78.0,9417.79507328,235.76999168,8,0.0,True,8,OnTrack
3.409,-3317.553094664224,681.1943156201972,78.17604924657918,9451.0,232.0,8,0.0,True,8,OnTrack
3.769,-3440.135904743045,810.9222071025702,80.87845065438114,9845.0,202.0,8,0.0,True,8,OnTrack
3.8,-3449.0,821.0,81.0,9857.270858666667,199.15832746666666,8,0.0,True,8,OnTrack
4.009,-3509.9874649566827,893.3780802609708,81.12550788562511,9940.0,180.0,6,0.0,True,8,OnTrack
4.08,-3532.0,924.0,81.0,9937.9291648,177.041664,6,0.0,True,8,OnTrack
4.249,-3588.005238237214,1014.3252977932874,80.48631799621725,9933.0,170.0,4,0.0,True,8,OnTrack
4.42,-3633.0,1097.0,80.0,9690.3936592,165.7249984,4,0.0,True,8,OnTrack
4.569,-3648.8556962154303,1134.3868671875402,79.88729658940645,9479.0,162.0,4,0.0,False,8,OnTrack
4.679,-3655.0,1161.0,80.0,9333.2498304,159.2499968,4,3.3000038399999996,False,8,OnTrack
4.769,-3660.6464191621035,1191.8613355812483,80.22093175790334,9214.0,157.0,4,6.0,False,8,OnTrack
4.969,-3670.8269519709697,1280.5561918692554,80.92078151704557,9336.0,155.0,4,38.0,False,8,OnTrack
4.999,-3671.0,1294.0,81.0,9382.80019968,155.07500032,4,41.0000128,False,8,OnTrack
5.199,-3664.0,1382.0,82.0,9694.80019968,155.57500032,4,61.0000128,False,8,OnTrack
5.259,-3661.0,1408.0,83.0,9788.40019968,155.72500032,4,67.00001280000001,False,8,OnTrack
5.369,-3653.348427276539,1456.2290485759836,84.01454716338532,9960.0,156.0,4,78.0,False,8,OnTrack
5.529,-3637.636928806182,1527.65782700598,83.5352902256509,10224.0,161.0,4,78.0,False,8,OnTrack
5.619,-3628.0,1568.0,83.0,10455.7503296,163.2500032,4,84.37500906666666,False,8,OnTrack
5.769,-3611.1505490815352,1635.4694559549891,82.03925516536975,10842.0,167.0,4,95.0,False,8,OnTrack
5.779,-3610.0,1640.0,82.0,10850.214390857143,167.35714742857144,4,95.17857371428572,False,8,OnTrack
6.019,-3582.0,1751.0,82.0,11047.357248,175.928576,4,99.464288,False,8,OnTrack
6.049,-3578.6001700262264,1765.3861170863383,81.98987282235561,11072.0,177.0,4,100.0,False,8,OnTrack
6.179,-3565.0,1829.0,82.0,11253.1876784,181.8750048,4,100.0,False,8,OnTrack
6.359,-3553.0,1918.0,83.0,11504.0626784,188.6250048,4,100.0,False,8,OnTrack
6.369,-3552.560463465485,1922.8131627903458,83.03540044925776,11518.0,189.0,4,100.0,False,8,OnTrack
