seconds,x,y,z,rpm,speed,gear,throttle,brake,drs,status
0.0,-1158.828261559265,-1368.2973209093557,85.20513496189267,11779.857069714286,295.38571337142855,7,99.0,False,0,OnTrack
0.124,-1241.0,-1290.0,85.0,11815.285714285714,295.8285714285714,7,99.0,False,0,OnTrack
0.172,-1282.3409409961369,-1250.6463770312812,84.67659879860187,11829.0,296.0,7,99.0,False,0,OnTrack
0.344,-1445.0,-1096.0,83.0,11896.93989888,297.71999744,7,99.0,False,0,OnTrack
0.372,-1465.892286559254,-1076.1878473235456,82.80971520547598,11908.0,298.0,7,99.0,False,0,OnTrack
0.572,-1557.352132070605,-990.0498233174626,82.37652962799766,11932.0,298.0,7,99.0,False,0,OnTrack
0.785,-1638.0,-913.0,82.0,11993.9031064,299.3312496,7,99.6656248,False,0,OnTrack
0.892,-1701.4646594564424,-851.3827539087873,81.32257949226405,12025.0,300.0,7,100.0,False,0,OnTrack
0.944,-1734.0,-820.0,81.0,12011.187568,300.0,7,99.8375008,False,0,OnTrack
1.184,-1879.0,-683.0,80.0,11947.437568,300.0,7,99.0875008,False,0,OnTrack
1.212,-1895.5049157020303,-667.491779629238,79.87202886219076,11940.0,300.0,7,99.0,False,0,OnTrack
1.385,-2000.0,-569.0,79.0,11862.1500288,299.13500032,7,99.0,False,0,OnTrack
1.412,-2017.9434082445964,-551.9570404265804,78.87712591854691,11850.0,299.0,7,99.0,False,0,OnTrack
1.572,-2132.339929073026,-442.6325631165256,78.25279610252214,11833.0,299.0,7,100.0,False,0,OnTrack
1.645,-2180.0,-397.0,78.0,11825.172075438935,298.4538657282978,7,99.81795524276592,False,0,OnTrack
1.944,-2335.0,-249.0,77.0,11793.109746770633,296.2169590770209,7,99.0723196923403,False,0,OnTrack
1.973,-2350.8237621550848,-233.98392809084595,76.88379460601107,11790.0,296.0,7,99.0,False,0,OnTrack
2.164,-2466.0,-125.0,76.0,11757.52998912,296.0,7,99.0,False,0,OnTrack
2.173,-2471.8976107356007,-119.42194059078717,75.95373530818908,11756.0,296.0,7,99.0,False,0,OnTrack
2.333,-2583.65067378063,-13.707428441629737,75.07618752689986,11731.0,295.0,7,99.0,False,0,OnTrack
2.464,-2675.0,73.0,75.0,11695.520885333333,293.9083349333333,7,99.0,False,0,OnTrack
2.573,-2746.2334564972343,140.94136202277426,75.70670675301454,11666.0,293.0,7,99.0,False,0,OnTrack
